Timestamp,What is your gender?,Which class are you enrolled in?,What school year are you in?,What is your sexual orientation?,How many minutes on average is your roundtrip commute to school daily?,What general time frames are your classes in? Select all that apply.,How many days of the week do you have classes?,How many hours do you work/volunteer in a week?,Does your job significantly affect your school life?,How are you paying for college?,How many units are you taking this quarter?,Do you attend in person lectures through zoom?,Do you watch lecture recordings?,What speed do you watch lecture recordings at?,Pineapple on pizza?,How long do you usually sleep per day?,How many clubs or organizations are you currently in?,How many times a week do you visit the Student Recreation Center?,How long do you spend at the SRC each visit?,Have you ever considered using resources targeted towards mental health?,How has your mood been since the start of the quarter?,How was your mood during the previous quarter?,Do you feel like you’re doing better in your in person classes compared to your online classes during the last school year?,What is your opinion on participation credit in your classes?,How much do you agree with the following statement? “More people participated in class before COVID than now.” Only answer if,How much do you agree with the following statement? “My parents influence my decision to go to college.”,How much do you agree with the following statement? “I eat out more than I eat homemade food.”,How much do you agree with the following statement? “I spend more time studying than I do on my hobbies.”,Do you feel like you are mentally present in your in person classes?,How are your grades in the classes you’re currently taking?,Do you think UCR has dedicated enough resources to student’s mental health?,How many days a week during quarantine did you feel your mental health significantly declined?,Do you think our politicians as a whole are focusing enough on climate change?,"To what extent do you believe the effects of climate change, if left unaddressed, will impact our planet?",How many days in a month do you recycle?,What is your work status?,How old are you?,How many times per week do you participate in your classes?,,,What kind of Apple devices do you have?,"On average, how many hours do you spend time on homework per week?",What is your current GPA?,,"On average, how many hours do you study per week?","Rate your stress levels this quarter. 1 being not stressed, 5 being the most stressed.",What is your GPA coming into this quarter,What was your GPA in your last quarter / semester,How many minutes on average is your roundtrip commute to school daily?,How many internships have you applied to within the last month?,How long do you stay at the Student Recreation Center on average each visit?,"On average, how many hours do you spend time on your hobbies per week?"
10/26/2021 15:52:56,Male,CS 111,Senior,Straight,,"Afternoon, Evening",5,0,No,My parents/relatives are paying for me,12,Sometimes,No,100%,No,8,0,0,,No,4,5,1,1,,3,2,,4,4,2,2,1,5,0,I don't work,22,0,,,None,10,2.5 - 2.9,,10,3,,,Live on Campus,0,0,10
10/26/2021 15:53:13,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,Does not apply to me,Scholarship,16,No,No,1,Yes,7 hours,None yet,0,,Yes,4,3,3,2,,5,2,,4,4,3,"Multiple, but for unrelated reasons",3,3,16-23,I don't work,19,3,,,None,12,3.0 - 3.4,,3,3,,,1hr+,0,0,
10/26/2021 15:53:24,Male,"CS 105, CS 111",Senior,Straight,,"Morning, Afternoon, Evening",5,20,Yes,My parents/relatives are paying for me,17,Sometimes,Yes,1.5,No,7,1,3,,No,3,2,1,5,,4,1,,5,2,2,3,2,5,1-7,Part-time,22,3,,,None,10,3.5 - 4.0,,10,5,,,Live on Campus,0,45min - 1hr,6
10/26/2021 15:53:53,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,10,No,My parents/relatives are paying for me,14,Sometimes,Yes,1.5x,Yes,2-4 hours,1,0,,Yes,1,2,2,1,,2,5,,1,2,1,7,2,4,16-23,Part-time,20,3-6,,,iPhone,12,3.0 - 3.4,,63,5,,,21min - 40min,0,0,9
10/26/2021 15:55:16,Male,CS 111,Senior,Straight,,"Morning, Afternoon",3,0,Does not apply to me,My parents/relatives are paying for me,12,Yes,Yes,1.5,No,7,0,5+,,Yes,4,3,5,4,,3,2,,4,4,3,1,3,3,0,I don't work,21,9,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",30,3.0 - 3.4,,50,4,,,21min - 40min,0,1 - 2hrs,10
10/26/2021 15:55:54,Male,CS 111,Junior,Straight,,"Afternoon, Evening",5,0,Does not apply to me,Loan,13,Sometimes,Yes,1.5,No,6-7,0,0,,Yes,1,2,2,1,,2,3,,1,1,3,4-5,3,3,24-30,I don't work,21,0,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",5-6,3.0 - 3.4,,2-3,5,,,41min - 1hr,0,0,2-3
10/26/2021 15:56:14,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,20-30,Yes,I get grants and the rest is myself.,16,Yes,Yes,1x,No,8,1,0,,No,2,4,2,2,,5,5,,1,3,3,0,1,5,0,Part-time,20,2,,,None,15,3.0 - 3.4,,5,4,,,1hr+,0,0,20-30
10/26/2021 15:56:47,Male,"CS 105, CS 111",Junior,Straight,,"Morning, Evening",3,0,Does not apply to me,FAFSA,12,Sometimes,No,1,Yes,7,3,4,,No,3,1,4,5,,4,1,,4,2,3,1,1,5,1-7,I don't work,22,9,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20,2.5 - 2.9,,1,5,,,21min - 40min,0,1 - 2hrs,15
10/26/2021 15:56:58,Prefer not to say,CS 111,Sophomore,Prefer not to answer,,"Morning, Afternoon, Evening",4,10,Does not apply to me,Loan,14,No,Yes,1.5,Yes,5 to 6 hours,none,0,,No,2,5,1,1,,3,1,,1,4,2,7,1,5,8-15,Student Orgs/Volunteer Regulary,19,3,,,None,5 to 10,3.5 - 4.0,,20 to 25,4,,,Live on Campus,0,0,5
10/26/2021 15:57:50,Female,CS 111,Sophomore,Straight,,Morning,2,9,No,"Scholarship, work, and parents",16,No,No,1.25-1.5,Yes,6-7,2,0,,Yes,2,4,1,3,,3,2,,2,4,3,All day,1,5,24-30,Part-time,19,All the time ,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",35,3.5 - 4.0,,50,4,,,1hr+,0,0,10
10/26/2021 15:58:52,Female,CS 111,Junior,Straight,,"Morning, Afternoon",4,12,Yes,My parents/relatives are paying for me,16,Sometimes,Yes,Normal speed,No,7-8 hours,2,2,,Yes,2,3,2,2,,2,3,,1,3,1,6,2,5,0,Part-time,21,3-5,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20-30,3.5 - 4.0,,30,4,,,1min - 20min,0,45min - 1hr,5
10/26/2021 16:00:03,Female,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,Does not apply to me,Loan,17,No,No,1,No,7 hours,1,0,,Yes,3,2,5,5,,5,4,,4,4,5,2,2,5,24-30,I don't work,19,5,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20,3.0 - 3.4,,5,3,,,21min - 40min,15,0,2
10/26/2021 16:00:58,Male,"CS 105, CS 111",Junior,Straight,,"Morning, Afternoon, Evening",5,0,No,My parents/relatives are paying for me,16,No,Yes,1,No,8,1,0,,Yes,2,3,2,2,,4,5,,2,2,5,7,3,3,1-7,I don't work,20,5,,,None,5,3.0 - 3.4,,9,4,,,Live on Campus,0,0,6
10/26/2021 16:01:02,Male,CS 111,Junior,Straight,,"Morning, Afternoon",2,12,No,Financial aid,12,No,No,2,Yes,7,2,0,,No,4,2,5,4,,3,1,,4,3,3,1,1,5,24-30,Part-time,21,What?,,,None,30,3.5 - 4.0,,30,3,,,1hr+,0,0,20
10/26/2021 16:01:58,Male,CS 111,Senior,Straight,,"Morning, Afternoon, Evening",5,0,Does not apply to me,My parents/relatives are paying for me,17,No,Yes,1,Yes,7-8 hours,0,0,,No,5,5,4,5,,1,1,,5,4,4,none,1,5,1-7,I don't work,21,5,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",70-80,3.5 - 4.0,,70-80,1,,,21min - 40min,0,0,3.5
10/26/2021 16:02:12,Male,CS 111,Sophomore,Straight,,Morning,5,8,No,Scholarship,18.5,No,No,1x,No,6,0,0,,No,4,4,3,4,,1,2,,4,5,5,0,4,5,1-7,Part-time,19,3,,,"iPhone, iPad, Macbook (Air/Pro), Mac(iMac, Mac Pro, Mac Mini)",15,3.5 - 4.0,,4,4,,,1hr+,0,0,0
10/26/2021 16:03:42,Male,CS 111,Senior,Straight,,Afternoon,5,0,Does not apply to me,My parents/relatives are paying for me,16,No,No,1x,Yes,6,0,1,,Yes,2,3,4,4,,3,4,,4,4,3,6,2,5,24-30,I don't work,21,2,,,iPhone,7,2.5 - 2.9,,15,5,,,Live on Campus,0,1 - 2hrs,2
10/26/2021 16:04:06,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",3,0,Does not apply to me,My parents/relatives are paying for me,17,No,Yes,2x,Yes,5-7 hours,4,0,,No,2,2,2,3,,4,3,,2,2,3,2-3,3,2,1-7,I don't work,20,3? I participate anytime I need to,,,iPad,12,3.5 - 4.0,,6,4,,,1hr+,0,0,24
10/26/2021 16:07:17,Male,CS 111,Junior,Straight,,Morning,5,1,Does not apply to me,My parents/relatives are paying for me,13,Sometimes,Yes,normal,Yes,8,1,3,,No,4,3,4,3,,5,2,,4,2,4,3,3,3,8-15,I don't work,21,1,,,None,8,3.0 - 3.4,,2,3,,,Live on Campus,none,1 - 2hrs,4
10/26/2021 16:07:22,Male,CS 111,Junior,Straight,,Morning,5,20,Yes,Scholarship,12,No,Yes,1.25,No,6,3,0,,Yes,3,1,3,1,,1,5,,1,4,3,2,1,5,0,Part-time,26,0,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",18,3.5 - 4.0,,50,4,,,21min - 40min,20,0,20
10/26/2021 16:09:57,Male,CS 111,Senior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,17.5,Sometimes,Yes,regular 1x,Yes,7-8 hours,0,5+,,No,4,2,4,2,,2,5,,4,4,3,0,3,2,1-7,I don't work,24,3,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",10,3.0 - 3.4,,20,4,,,1min - 20min,0,45min - 1hr,30
10/26/2021 16:23:01,Male,"CS 105, CS 111",Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,Scholarship,16,Yes,Yes,1x,Yes,8,1,2,,Yes,3,3,3,3,,4,2,,3,4,3,3,3,3,8-15,I don't work,19,2,,,None,15,3.5 - 4.0,,12,2,,,21min - 40min,0,1 - 2hrs,30
10/26/2021 16:25:51,Female,CS 105,Senior,Straight,,"Morning, Afternoon",5,N/A,Does not apply to me,Loan,12,Sometimes,Yes,2,Yes,6,0,0,,Yes,2,3,2,3,,4,3,,2,3,2,7,2,5,1-7,I don't work,21,5,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,3.5 - 4.0,,15,5,,,21min - 40min,0,0,9
10/26/2021 16:27:33,Male,"CS 105, CS 111",Junior,Straight,,"Morning, Afternoon",5,25,No,Scholarship,12,Sometimes,Yes,1.25,Yes,4 hours,1,2,,No,5,5,3,5,,3,2,,1,3,1,0,1,5,1-7,Part-time,19,2,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",20,2.5 - 2.9,,10,3,,,1hr+,3,1 - 2hrs,20
10/26/2021 16:30:02,Male,CS 111,Senior,Straight,,"Morning, Afternoon",4,0,Does not apply to me,My parents/relatives are paying for me,16,Sometimes,Yes,1,No,6,0,0,,No,3,3,4,3,,4,3,,3,4,3,0,3,4,0,I don't work,24,4,,,None,10,3.5 - 4.0,,14,4,,,21min - 40min,0,0,6
10/26/2021 16:32:50,Male,CS 111,Sophomore,Straight,,Morning,5,0,No,Loan,14,No,Yes,At normal pace ,No,6-7,3,0,,No,3,3,3,1,,4,5,,3,4,3,1,1,5,1-7,I don't work,18,2,,,"iPhone, Macbook (Air/Pro)",5,3.5 - 4.0,,4,5,,,41min - 1hr,0,0,2
10/26/2021 16:48:12,Male,CS 111,Junior,Straight,,"Afternoon, Evening",5,0,Does not apply to me,My parents/relatives are paying for me,13,No,Yes,1,No,4 hours,0,0,,No,4,2,4,2,,5,3,,3,2,3,6,3,4,0,I don't work,20,8,,,iPhone,10,3.0 - 3.4,,14,5,,,41min - 1hr,0,0,8
10/26/2021 16:55:28,Female,CS 111,Junior,Straight,,"Morning, Afternoon",4,20-40,Yes,I pay myself,8,Sometimes,Yes,the speed they were taken in.,No,7,0,0,,No,2,5,3,3,,3,1,,3,3,3,no more than normal,2,1,24-30,Part-time,27,4,,,iPhone,20,3.5 - 4.0,,30,5,,,1hr+,0,0,4
10/26/2021 16:55:54,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon, Evening",5,0,Does not apply to me,Scholarship,14 units,Sometimes,Yes,1.0x,Yes,4 - 5 hours,0,0,,Yes,3,3,2,5,,4,3,,3,3,2,4 - 5 days,1,5,0,I don't work,25,11 times,,,None,25 hours,3.0 - 3.4,,40 hours,4,,,21min - 40min,0,0,15 - 20 hours
10/26/2021 16:57:07,Male,CS 111,Senior,Straight,,"Morning, Evening",5,30,Yes,My parents/relatives are paying for me,13,No,Yes,1.5,Yes,6-7,1,0,,No,4,2,5,3,,4,2,,5,3,3,4,2,5,24-30,Full time,21,Question unclear,,,"iPhone, iPad, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",10,3.5 - 4.0,,10,4,,,1min - 20min,0,0,5
10/26/2021 16:59:35,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,n/a,Does not apply to me,Scholarship,12,Yes,Yes,2x,No,7-8hrs,0,0,,No,3,5,2,3,,4,3,,5,4,3,Probably once a month,1,5,24-30,I don't work,20,always,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod)",40,3.0 - 3.4,,40,2,,,21min - 40min,0 atm,0,15
10/26/2021 17:06:33,Male,"CS 105, CS 111",Senior,Straight,,"Morning, Afternoon, Evening",4,0,Does not apply to me,Loan,16,Sometimes,Yes,1,No,6,1,0,,No,1,4,1,3,,2,1,,1,2,2,0,2,3,24-30,I don't work,23,0,,,None,15,3.5 - 4.0,,10,5,,,Live on Campus,0,0,5
10/26/2021 17:12:17,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",5,0,Does not apply to me,My parents/relatives are paying for me,16,No,Yes,1.25,No,7,0,0,,No,2,1,2,4,,3,2,,3,2,1,7,1,5,1-7,I don't work,20,all,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20,3.5 - 4.0,,20,4,,,1min - 20min,2,0,14
10/26/2021 17:22:33,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,Does not apply to me,My parents/relatives are paying for me,17,Sometimes,Yes,1x,Yes,7 hours,0,4,,No,4,2,4,4,,2,4,,4,5,5,3,2,4,1-7,I don't work,19,many,,,"iPhone, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",17,3.5 - 4.0,,5,4,,,Live on Campus,0,1 - 2hrs,40
10/26/2021 17:25:11,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",4,0,Does not apply to me,I pay myself,17,No,No,Doesn’t apply,No,7,1,0,,No,4,3,4,3,,3,1,,4,4,3,4,2,2,1-7,I don't work,19,All classes ,,,iPhone,20,3.5 - 4.0,,20,3,,,41min - 1hr,0,0,15
10/26/2021 17:35:10,Male,CS 105,Graduate Student,Straight,,"Morning, Afternoon",5,19,Yes,My parents/relatives are paying for me,12,Sometimes,No,1x,Yes,7,3,0,,No,5,3,4,4,,3,4,,4,4,4,0,2,5,0,Part-time,24,7,,,Macbook (Air/Pro),24,3.5 - 4.0,,20,3,,,1min - 20min,3,1 - 2hrs,1
10/26/2021 17:37:40,Male,CS 111,Sophomore,Straight,,Afternoon,5,0,Does not apply to me,Loan,14,No,Yes,1.5x,No,6-8 hours,0,0,,No,2,4,2,1,,1,1,,2,4,3,7,2,4,0,I don't work,19,5,,,iPhone,15,3.5 - 4.0,,6,5,,,21min - 40min,33,0,10
10/26/2021 17:39:01,Male,"CS 105, CS 111",Sophomore,Straight,,Morning,4,15,No,My parents/relatives are paying for me,12,No,No,N/A,No,8,0,0,,No,4,5,3,3,,4,1,,2,4,3,0-1,1,5,8-15,Part-time,20,4,,,None,7,3.5 - 4.0,,5,3,,,1hr+,0,0,50
10/26/2021 17:39:58,Male,CS 111,Sophomore,Straight,,"Morning, Afternoon",5,4,Does not apply to me,My parents/relatives are paying for me,16,Sometimes,Yes,1.25 or 1.5,Yes,6,I am in two clubs/organizations,5+,,Yes,3,2,5,3,,4,1,,2,3,3,5,1,5,1-7,Student Orgs/Volunteer Regulary,19,5,,,"iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",14,3.5 - 4.0,,40,5,,,1min - 20min,1,31min - 45min,28
10/26/2021 17:42:57,Male,CS 111,Senior,Straight,,"Afternoon, Evening",5,10,No,Grants,16,Sometimes,Yes,1,Yes,7,1,1,,No,2,4,3,2,,2,1,,2,2,3,1,3,5,24-30,Part-time,21,0,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod)",16,3.0 - 3.4,,10,4,,,21min - 40min,0,1 - 2hrs,20
10/26/2021 17:44:55,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,My parents/relatives are paying for me,12,No,Yes,1.5x,Yes,7 hours,1,0,,No,3,1,2,4,,4,3,,3,4,5,3,3,1,1-7,I don't work,20,3,,,"iPhone, Macbook (Air/Pro)",10,3.0 - 3.4,,25,3,,,Live on Campus,1,45min - 1hr,4
10/26/2021 17:51:58,Male,CS 111,Junior,Straight,,"Morning, Afternoon",5,0,Does not apply to me,Loan,12,Sometimes,Yes,1.5x,Yes,8hrs,0,0,,No,3,4,2,3,,5,4,,2,2,5,5,1,5,24-30,I don't work,23,0,,,"iPhone, iPad, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20,3.5 - 4.0,,40,4,,,1min - 20min,0,0,2
10/26/2021 17:57:46,Male,CS 111,Junior,Straight,,"Morning, Afternoon, Evening",5,20,Yes,financial aid,10,Yes,Yes,1.5x or 2x for review,Yes,4-7 hours,0,3,,No,4,1,4,4,,5,5,,2,4,1,7,1,5,24-30,Part-time,23,5,,,"iPhone, Apple Watch, Headphones/Speakers (AirPods/Pro/Max, HomePod), Macbook (Air/Pro)",20,2.5 - 2.9,,20,4,,,41min - 1hr,0,31min - 45min,40
10/26/2021 18:02:12,Male,CS 111,Sophomore,Straight,,Afternoon,4,0,No,I pay myself,16,Sometimes,Yes,normal,Yes,4,0,0,,No,3,3,3,3,,3,3,,3,3,3,0,3,3,0,I don't work,19,1,,,iPhone,2,3.0 - 3.4,,2,3,,,Live on Campus,0,,
